Graph_from_hNJets_DR_zmm
Function parameter 0:  0.952937306537 +/- 0.0205811890055
Function parameter 1:  0.0167432259028 +/- 0.00696719572704
Graph_from_hMHT_DR_zmm
Function parameter 0:  1.06688470546 +/- 0.0298201541242
Function parameter 1:  -0.000164436646213 +/- 7.43530807163e-05
Graph_from_hHT_DR_zmm
Function parameter 0:  0.983464792777 +/- 0.020330533266
Function parameter 1:  3.61504676743e-05 +/- 3.79706597464e-05
Info in <TCanvas::Print>: pdf file DR_NJets_sig.pdf has been created
Info in <TCanvas::Print>: pdf file DR_MHT_sig.pdf has been created
Info in <TCanvas::Print>: pdf file DR_HT_sig.pdf has been created
DR | DR cv error | DR shape up | DR shape down | 0b purity | purity error | trig eff | trig eff error | lepton SF | lepton SF error | btag SF | btag SF error |
 1.0017 | 0.0069 | 0.0985 | 0.0939 | 0.9900 | 0.0000 | 1.0000 | 0.0000 | 0.9651 | 0.0223 | 1.0000 | 0.0050 |
 1.0017 | 0.0069 | 0.0985 | 0.0939 | 0.9900 | 0.0000 | 1.0000 | 0.0000 | 0.9651 | 0.0223 | 1.0000 | 0.0050 |
 1.0017 | 0.0069 | 0.0985 | 0.0939 | 0.9900 | 0.0000 | 1.0000 | 0.0000 | 0.9651 | 0.0223 | 1.0000 | 0.0050 |
 1.0017 | 0.0069 | 0.0985 | 0.0939 | 0.9900 | 0.0000 | 1.0000 | 0.0000 | 0.9651 | 0.0223 | 1.0000 | 0.0050 |
 1.0017 | 0.0069 | 0.0985 | 0.0939 | 0.9900 | 0.0000 | 1.0000 | 0.0000 | 0.9651 | 0.0223 | 1.0000 | 0.0050 |
 1.0017 | 0.0069 | 0.0985 | 0.0939 | 0.9900 | 0.0000 | 1.0000 | 0.0000 | 0.9651 | 0.0223 | 1.0000 | 0.0050 |
 1.0017 | 0.0069 | 0.1342 | 0.1280 | 0.9900 | 0.0000 | 1.0000 | 0.0000 | 0.9651 | 0.0223 | 1.0000 | 0.0050 |
 1.0017 | 0.0069 | 0.1342 | 0.1280 | 0.9900 | 0.0000 | 1.0000 | 0.0000 | 0.9651 | 0.0223 | 1.0000 | 0.0050 |
 1.0017 | 0.0069 | 0.1342 | 0.1280 | 0.9900 | 0.0000 | 1.0000 | 0.0000 | 0.9651 | 0.0223 | 1.0000 | 0.0050 |
 1.0017 | 0.0069 | 0.1342 | 0.1280 | 0.9900 | 0.0000 | 1.0000 | 0.0000 | 0.9651 | 0.0223 | 1.0000 | 0.0050 |
 1.0017 | 0.0069 | 0.1342 | 0.1280 | 0.9900 | 0.0000 | 1.0000 | 0.0000 | 0.9651 | 0.0223 | 1.0000 | 0.0050 |
 1.0017 | 0.0069 | 0.1342 | 0.1280 | 0.9900 | 0.0000 | 1.0000 | 0.0000 | 0.9651 | 0.0223 | 1.0000 | 0.0050 |
 1.0017 | 0.0069 | 0.1342 | 0.1280 | 0.9900 | 0.0000 | 1.0000 | 0.0000 | 0.9651 | 0.0223 | 1.0000 | 0.0050 |
 1.0017 | 0.0069 | 0.1342 | 0.1280 | 0.9900 | 0.0000 | 1.0000 | 0.0000 | 0.9651 | 0.0223 | 1.0000 | 0.0050 |

